parksid,block,lotnum,lotsize,areacovered
BGT023,1144,63,,
B469-GT001,4053,9,,
B469-GT001,4053,10,,
BGT024,952,3,17960,Full Lot
B543-GT001,4088,23,1000,Full Lot
B543-GT001,4088,24,1000,Full Lot
B543-GT001,4088,22,2500,Full Lot
XGT015,2397,13,,
M371-GT001,397,28,,
X320-GT001,2903,35,,
X320-GT001,2903,37,,
X320-GT001,2903,40,,
M363-GT001,1753,67,,
M363-GT001,1753,68,,
M363-GT001,1753,168,,
BGT025,3956,51,,
M384-GT001,1616,53,,
X322-GT001,3196,92,,
QGT001,11327,1,,
B461-GT001,4249,86,,
B461-GT001,4249,72,,
B593-GT001,1682,33,,
BGT027,3694,16,,
R146-GT001,198,122,,
R146-GT001,198,126,,
Q487-GT001,10081,6,,
M341-GT001,1848,55,,
M341-GT001,1848,56,,
X349-GT001,2381,19,,
M324-GT001,391,42,,
M324-GT001,391,43,,
B450-GT001,3979,31,,
B450-GT001,3979,32,,
B450-GT001,3979,33,,
X297-GT001,2792,9,,
B580-GT001,2539,29,,
B443-GT001,4023,6,,
B451-GT001,1793,7,,
B451-GT001,1793,9,,
XGT016,2402,4,,
B464-GT001,1446,63,2009,Full Lot
B464-GT001,1446,163,2009,Full Lot
B464-GT001,1446,61,2679,Full Lot
XGT017,2288,1,,
X276-GT001,2616,22,,
X276-GT001,2616,26,,
X276-GT001,2616,28,,
X276-GT001,2616,29,,
X276-GT001,2616,30,,
X276-GT001,2616,32,,
X357-GT001,2403,25,,
X357-GT001,2403,26,,
X357-GT001,2403,27,,
X357-GT001,2403,29,,
X271-GT001,2816,5,,
X271-GT001,2816,9,,
M364-GT001,1771,5,2523,Full Lot
X350-GT001,2384,9,,
X350-GT001,2384,10,,
X350-GT001,2384,12,,
X350-GT001,2384,13,,
B478-GT001,4012,4,,
XGT018,3125,35,,
M315-GT001,401,25,,
Q488-GT001,9681,45,,
BGT028,1962,69,,
MGT015,1726,65,,
BGT029,3438,24,,
BGT030,1342,5,,
BGT030,1342,3,,
MGT016,1654,5,,
MGT016,1654,42,,
X321-GT001,2431,20,,
Q300-GT001,5156,1,,
B575-GT001,1664,40,,
X235-GT001,2625,17,,
X235-GT001,2625,19,,
BGT031,3457,3,,
M335-GT001,344,148,,
B467-GT001,4000,29,,
B467-GT001,4000,30,,
B467-GT001,4000,31,,
B467-GT001,4000,130,,
M316-GT001,1726,64,,
X329-GT001,2955,32,,
XGT019,3292,86,,
XGT019,3292,149,,
M291-GT001,106,22,4034,Full Lot
X340-GT001,2972,52,,
X340-GT001,2972,55,,
X318-GT001,2633,8,,
X318-GT001,2633,9,,
M312-GT001,379,1,,
M312-GT001,379,2,,
M312-GT001,379,3,,
M312-GT001,379,4,,
M312-GT001,379,5,,
M312-GT001,379,6,,
M312-GT001,379,7,,
M312-GT001,379,61,,
M312-GT001,379,63,,
M312-GT001,379,59,,
QGT002,12356,21,,
QGT002,12356,19,,
Q489-GT001,12147,16,,
X324-GT001,2826,20,,
X324-GT001,2826,21,,
X324-GT001,2826,22,,
M372-GT001,384,28,,
MGT020,1638,32,,
BGT032,5808,,,
MGT017,524,9,,
X252-GT001,3049,1,,
X252-GT002,3049,1,,
MGT018,1631,2,,
MGT018,1631,102,,
M321-GT001,439,10,8225,Partial Lot
XGT020,3111,7,,
XGT020,3111,8,,
B553-GT001,2571,21,,
B507-GT001,1708,70,,
B507-GT001,1708,72,,
B507-GT001,1708,73,,
B533-GT001,3617,13,10858,Full Lot
B439-GT001,1760,1,2805,Full Lot
B409-GT001,348,1,1500,Full Lot
B409-GT001,348,2,1500,Full Lot
B409-GT001,348,3,1500,Full Lot
B440-GT001,3539,1,2500,Full Lot
B440-GT001,3539,2,2500,Full Lot
B440-GT001,3539,48,6000,Full Lot
B440-GT001,3539,51,6000,Full Lot
B441-GT001,1771,29,,
QGT003,10078,43,,
B410-GT001,352,4,1693,Full Lot
B410-GT001,352,5,1530,Full Lot
B410-GT001,352,6,1389,Full Lot
B410-GT001,352,7,1200,Full Lot
B410-GT001,352,9,940,Full Lot
B410-GT001,352,10,606,Full Lot
B410-GT001,352,8,1037,Full Lot
BGT033,1622,5,,Full Lot
XGT021,5085,13,8447,Partial Lot
X246-GT001,2285,42,,
B422-GT001,2106,1,,
BGT034,7552,100,,
B582-GT001,2018,35,,
XGT022,5075,,,
M387-GT001,1923,20,,
M387-GT001,1923,21,,
M396-GT001,354,16,,
M396-GT001,354,18,,
B454-GT001,3432,39,,
B454-GT001,3432,40,,
B454-GT001,3432,41,,
Q474A-GT001,1932,31,,
X338-GT001,2404,9,,
X338-GT001,2404,10,,
XGT023,3163,5,,
XGT024,3199,46,,
M336-GT001,391,53,,
M336-GT001,391,54,,
QGT004,10072,18,,
B458-GT001,3993,17,,
B458-GT001,3993,18,,
B458-GT001,3993,19,,
X341-GT001,2381,47,,
X323-GT001,3043,57,,
X233A-GT001,2664,23,,
X233A-GT001,2664,24,,
X233A-GT001,2664,26,,
X233A-GT001,2664,27,,
X233A-GT001,2664,52,,
M401-GT001,1645,3,,
M268-GT001,374,10,,
M268-GT001,374,12,,
M268-GT001,374,59,,
M268-GT001,374,60,,
M268-GT001,374,62,,
M268-GT001,374,64,,
M268-GT001,374,13,,
M268-GT001,374,14,,
M268-GT001,374,15,,
M268-GT001,374,16,,
M268-GT001,374,17,,
M268-GT001,374,18,,
B424-GT001,2407,30,,
B424-GT001,2407,32,,
B460-GT001,4066,2,,
B460-GT001,4066,3,,
BGT035,4461,9,,
B463-GT001,3553,21,10000,Full Lot
B447-GT001,4057,25,,
B447-GT001,4057,27,,
B447-GT001,4057,28,,
B447-GT001,4057,29,,
B447-GT001,4057,30,,
B447-GT001,4057,31,,
M313A-GT001,387,155,,
B465-GT001,1805,74,,
B465-GT001,1805,75,,
B465-GT001,1805,76,,
B466-GT001,3809,27,,
M317-GT001,2074,45,,
M317-GT001,2074,46,,
M317-GT001,2074,146,,
B399-GT001,955,13,3665,Full Lot
B399-GT001,955,15,3673,Full Lot
B399-GT001,955,18,1520,Full Lot
X316-GT001,2611,50,,
B415-GT001,4297,1,,
BGT036,456,14,,
B468-GT001,3978,35,1375,Full Lot
XGT025,2448,11,,
B058-GT001,2696,1,6095,Partial Lot
BGT037,955,49,,
B486-GT001,3857,24,1507,Full Lot
B486-GT001,3857,25,1549,Full Lot
B486-GT001,3857,26,1637,Full Lot
B486-GT001,3857,27,1509,Full Lot
B486-GT001,3857,1,1680,Full Lot
BGT038,1953,41,,Full Lot
B574-GT001,1493,1,,
B527-GT001,3854,1,,
B527-GT001,3854,2,,
B527-GT001,3854,3,,
B527-GT001,3854,4,,
B527-GT001,3854,5,,
B527-GT001,3854,7,,
B527-GT001,3854,8,,
B527-GT001,3854,9,,
B527-GT001,3854,10,,
B527-GT001,3854,11,,
B527-GT001,3854,12,,
B527-GT001,3854,13,,
X118A-GT001,3440,12,,
M297-GT001,1918,46,10941,Full Lot
B408-GT001,336,9,1995,Full Lot
B408-GT001,336,10,1181,Full Lot
B408-GT001,336,11,339,Full Lot
B579-GT001,1342,8,3017,Full Lot
X314-GT001,2643,50,,
XGT026,2622,36,,
XGT026,2622,37,,
XGT026,2622,61,,
XGT026,2622,62,,
XGT026,2622,63,,
M351-GT001,1928,22,,
M351-GT001,1928,23,,
M351-GT001,1928,122,,
M351-GT001,1928,121,,
MGT022,1784,11,,
B142-GT001,2147,1,,
BGT039,3155,20,,
X145-GT001,2323,112,,
X145-GT001,2323,60,,
X145-GT001,2323,114,,
X145-GT001,2323,130,,
X327-GT001,2511,65,,
M373-GT001,1840,62,,
M373-GT001,1840,63,,
M325-GT001,391,23,,
M325-GT001,391,24,,
M325-GT001,391,30,,
X337-GT001,2379,30,,
X355-GT001,2870,1,,
B479-GT001,2020,19,2975,Full Lot
Q045-GT001,32,39,,
M346-GT001,1771,121,865,Full Lot
B480-GT001,5030,23,0,Full Lot
BGT040,950,16,,
QGT005,12401,40,,
X299-GT001,2903,11,,
X299-GT001,2903,13,,
M326-GT001,456,1,,
QGT006,115,86,3270,Partial Lot
M357-GT001,386,60,,
MGT024,271,63,,
B499-GT001,1483,27,,
B481-GT001,3370,23,,
B481-GT001,3370,24,,
B481-GT001,3370,25,,
B481-GT001,3370,26,,
B482-GT001,1990,14,,
B482-GT001,1990,15,,
M327-GT001,1628,15,,
M327-GT001,1628,12,,
M327-GT001,1628,16,,
QGT007,1726,14,,
BGT042,1225,10,,
XGT027,3716,59,2500,Full Lot
B510-GT001,3494,4,10000,Full Lot
M297A-GT001,1918,11,,
QGT008,1650,2,,
Q493-GT001,10149,70,,
Q493-GT001,10149,71,,
X356-GT001,2407,31,,
X356-GT001,2407,32,,
QGT009,12371,332,,
QGT009,12371,333,,
M105-GT001,420,1,,
XGT028,2746,53,,
M314-GT001,398,27,,
M314-GT001,398,28,,
MGT026,2079,11,,
M347-GT001,1842,61,,
X342-GT001,2965,199,,
B453-GT001,4023,28,,
B545-GT001,3106,18,,
RGT001,695,25,,
RGT001,695,14,,
RGT001,695,16,,
M348-GT001,2110,57,,
M348-GT001,2110,58,,
X275-GT001,2531,29,,
X275-GT001,2531,35,,
B514-GT001,4061,18,,
M349-GT001,1907,41,,
M349-GT001,1907,42,,
M349-GT001,1907,43,,
B518-GT001,1632,46,,
X241-GT001,2746,25,,
X241-GT001,2746,27,,
X273-GT001,3002,33,,
BGT044,2337,1,,
M393-GT001,1081,26,,
B425-GT001,2920,32,,
B425-GT001,2920,33,,
M354-GT001,373,30,,
M354-GT001,373,27,,
M354-GT001,373,26,,
B521-GT001,3997,3,,
B521-GT001,3997,4,,
B521-GT001,3997,23,,
B521-GT001,3997,24,,
M365-GT001,1928,104,,
M365-GT001,1928,105,,
X330-GT001,2962,62,,
B417-GT001,4000,10,,
B417-GT001,4000,11,,
B417-GT001,4000,12,,
B417-GT001,4000,13,,
B417-GT001,4000,14,,
B417-GT001,4000,15,,
B417-GT001,4000,16,,
B417-GT001,4000,17,,
B417-GT001,4000,18,,
B485-GT001,3809,38,,
M356-GT001,1926,27,,
X285-GT001,2267,60,,
X285-GT001,2267,61,,
X285-GT001,2267,62,,
X285-GT001,2267,63,,
X285-GT001,2267,56,,
X285-GT001,2267,57,,
XGT029,2619,18,,
MGT027,1783,37,,
MGT027,1783,38,,
XGT030,2718,52,,
MGT028,373,10,,
MGT028,373,11,,
MGT028,373,12,,
B500-GT001,1627,1,,
M350-GT001,385,51,,
M350-GT001,385,52,,
BGT046,3283,1,,
BGT046,3283,3,,
BGT046,3283,4,,
